no,question,answer
1,available,使える
2,currently,現在は
3,weather permitting,天気が良ければ
4,annual,毎年恒例の
5,competitive,競合できる
6,stick,動けなくする
7,pedestrian,歩行者
8,take over,引き継ぐ
9,be situated,位置している
10,be located,位置している
11,put on,身につける
12,wear,身につけている
13,take off,脱ぐ・離陸する
14,be supposed to,することになっている
15,A is followed directly by B,Aのすぐ次にB
16,stack,積み重ねる
17,pile,積み重ねる
18,previously,以前に
19,temporarily,一時的に
20,provisionally,暫定的に
21,tentative,仮の
22,effective,有効になる
23,actually,実は
24,instead,代わりに
25,make it,うまくいく
26,enclose,同封する
27,attach,添付する
28,essential,重要な
29,vital,重要な
30,launch,売り出す
31,statement,名声・明細書
32,inventory,在庫品
33,subscription,定期購読
34,supplies,備品
35,exclusively,～だけ
36,refund,払戻金
37,relocate,移転させる
38,exhibition,展示
39,plumbing,配管
40,be scheduled to,する予定である
41,facility,施設
42,farewell party,送別会
43,outgoing,去っていく
44,expiration,終了・満期
45,lapse,失効する
46,yearly,毎年の
47,timely,タイミングのよい
48,mayor,市長
49,souvenir,おみやげ・記念品
50,state-of-the-art,最新式の
51,be dedicated to,に専念する
52,be committed to,に専念する
53,bill,請求書
54,alternative,代わりの
55,alternate route,迂回路
56,detour,迂回路
57,reschedule,予定を変更する
58,resume,履歴書
59,degree,学位
60,department,部
61,register for,に登録する
62,complimentary,無料の
63,headquarters,本社
64,notice,通知
65,review,批評・検討
66,across from each other,向かい合わせに
67,fee,手数料
68,regarding,に関して
69,CEO,最高経営責任者
70,board member,会社役員
71,no more than,～以下の
72,no later than,までに
73,instrument,楽器
74,vehicle,乗り物
75,produce,農作物
76,merchandise,商品
77,machine,機械
78,equipment,装置・機器
79,device,機械
80,document,資料・記録する
81,clothing,衣類
82,electronic,インターネットでの
83,ship,発送する
84,water,水辺・水やり
85,install,取り付ける
86,structure,建物
87,wing,棟
88,minutes,議事録
89,You've reached,こちらは～です
90,post,貼る・掲示する
91,market,市場に出す・売る
92,highlight,もっとも重要な部分
93,table,表
94,carry,置いている
95,body,団体
96,memo,社内文書
97,report to,~に報告する・直属する
98,business,会社
99,material,素材・生地
100,coordinate,調整する
